architecture,lr,batch_size,dropout,batchnorm,epochs_ran,best_val_loss,test_accuracy,test_precision,test_recall,test_f1,train_time_sec,params
32,0.0001,32,0.2,False,100,0.19609536230564117,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,33.24389338493347,1025
128-64-32,0.001,16,0.3,False,26,0.06480497866868973,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,4.125333786010742,14337
128-64-32,0.001,32,0.0,False,31,0.053152769804000854,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,4.34838080406189,14337
128-64-32,0.001,16,0.2,True,47,0.07681211084127426,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,7.788956165313721,15233
128-64-32,0.0005,32,0.2,False,69,0.07166476547718048,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,8.661482810974121,14337
64-32,0.001,32,0.2,True,68,0.053151629865169525,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,9.203760385513306,4481
128-64-32,0.0005,16,0.2,True,54,0.08410155028104782,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,9.677689790725708,15233
64-32,0.0001,32,0.2,False,100,0.10009602457284927,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,11.04187560081482,4097
64-32,0.0001,32,0.0,True,100,0.11603069305419922,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,11.423763036727905,4481
128-64-32,0.0001,32,0.3,False,100,0.07205672562122345,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,11.769063711166382,14337
128-64-32,0.0001,32,0.2,False,100,0.08347490429878235,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,11.93344783782959,14337
64-32,0.0001,16,0.0,False,100,0.08208338916301727,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,12.005963802337646,4097
128-64-32,0.0005,16,0.3,True,84,0.05752842500805855,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,12.149857521057129,15233
64-32-16,0.0005,32,0.3,True,100,0.06813813745975494,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,12.725970029830933,5057
64-32,0.0001,16,0.0,True,100,0.10614565014839172,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,13.47894835472107,4481
64-32-16,0.0001,16,0.3,False,100,0.10662626475095749,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,13.511969327926636,4609
64-32-16,0.0005,16,0.3,True,94,0.07517724484205246,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,14.445029497146606,5057
64-32,0.0005,32,0.2,True,80,0.07326260954141617,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,14.662081956863403,4481
64-32-16,0.001,32,0.3,False,53,0.06112894415855408,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,15.422577142715454,4609
64-32,0.0005,16,0.2,True,100,0.0688767209649086,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,22.913839101791382,4481
64-32-16,0.0005,16,0.0,True,64,0.12136979401111603,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,25.10667872428894,5057
32,0.0005,32,0.2,False,100,0.06639064848423004,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,29.72069811820984,1025
32,0.0005,16,0.3,False,100,0.05784706398844719,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,34.683922290802,1025
64-32-16,0.001,32,0.2,False,32,0.08124135434627533,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,4.3929383754730225,4609
64-32,0.001,16,0.2,False,39,0.06319797039031982,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,5.8951780796051025,4097
64-32-16,0.001,16,0.2,False,44,0.060788314789533615,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,7.011471748352051,4609
128-64-32,0.001,32,0.2,False,55,0.06557124853134155,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,7.243062734603882,14337
128-64-32,0.0005,16,0.3,False,50,0.04745190963149071,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,7.309889316558838,14337
64-32-16,0.0005,32,0.3,False,85,0.0682288110256195,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,10.339861392974854,4609
32,0.001,32,0.3,False,100,0.07005812227725983,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,11.174026727676392,1025
64-32-16,0.001,32,0.3,True,86,0.04829859361052513,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,11.678163051605225,5057
32,0.001,16,0.3,False,92,0.062186989933252335,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,11.811631679534912,1025
128-64-32,0.0005,32,0.3,True,88,0.0498260036110878,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,12.124895811080933,15233
128-64-32,0.0001,32,0.0,True,100,0.09582864493131638,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,12.990145444869995,15233
64-32,0.0001,32,0.3,True,100,0.10831961035728455,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,13.001407623291016,4481
32,0.001,16,0.3,True,100,0.061301328241825104,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,13.803582429885864,1153
64-32,0.0005,16,0.3,True,100,0.05753094330430031,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,16.134912252426147,4481
64-32,0.001,16,0.3,False,82,0.06288481503725052,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,24.911303281784058,4097
64-32-16,0.0005,16,0.2,True,100,0.08380111306905746,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,28.65419316291809,5057
32,0.0005,32,0.0,True,100,0.06655411422252655,0.956140350877193,0.9855072463768116,0.9444444444444444,0.9645390070921985,33.69230246543884,1153
64-32,0.0005,16,0.3,False,62,0.07347317039966583,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,9.957512378692627,4097
32,0.0001,32,0.0,True,100,0.17642833292484283,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,12.313828706741333,1153
64-32,0.0001,16,0.3,False,100,0.10123356431722641,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,12.8053719997406,4097
64-32-16,0.0001,16,0.2,False,100,0.0988878384232521,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,13.67176866531372,4609
64-32-16,0.0001,16,0.2,True,100,0.15102827548980713,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,15.132022142410278,5057
64-32-16,0.0005,16,0.0,False,39,0.09084858745336533,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,16.114314079284668,4609
32,0.0001,16,0.3,False,100,0.12010479718446732,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,28.224079370498657,1025
32,0.0001,16,0.2,False,100,0.10978768765926361,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,30.6164608001709,1025
64-32-16,0.001,32,0.2,True,46,0.09883219748735428,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,7.059171676635742,5057
128-64-32,0.0005,16,0.0,True,46,0.0920267328619957,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,7.600048780441284,15233
128-64-32,0.001,32,0.0,True,53,0.07195552438497543,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,7.704822063446045,15233
128-64-32,0.0005,32,0.0,False,66,0.06705528497695923,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,8.398125410079956,14337
32,0.001,32,0.0,True,84,0.06906294077634811,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,9.457359790802002,1153
64-32-16,0.001,16,0.2,True,63,0.07195395976305008,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,10.921710729598999,5057
64-32-16,0.0001,32,0.0,False,100,0.08334643393754959,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,12.034123420715332,4609
64-32,0.001,16,0.3,True,57,0.0643225684762001,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,12.246610403060913,4481
64-32,0.0005,32,0.0,False,91,0.06324195116758347,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,12.311255693435669,4097
32,0.0005,16,0.0,False,100,0.08982076495885849,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,12.837637662887573,1025
32,0.001,16,0.2,False,100,0.05154884606599808,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,12.908549308776855,1025
32,0.0005,16,0.0,True,100,0.071468286216259,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,12.93565058708191,1153
64-32,0.001,32,0.3,True,100,0.05222618207335472,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,13.603490114212036,4481
32,0.0001,16,0.0,False,100,0.11279390752315521,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,13.85243558883667,1025
